Date Time,Week,Operating Reserve (MW)
20200911,5,4084.39
20200912,6,3383.25
20200913,7,3024.7
20200914,1,3718.38
20200915,2,3725.04
20200916,3,3733.28
20200917,4,3724.32
20200918,5,3729.08
20200919,6,3316.91
20200920,7,3885.44
20200921,1,4562.15
20200922,2,5125.51
20200923,3,4772.34
20200924,4,5434.44
20200925,5,5274.42
20200926,6,4546.87
20200927,7,4488.7
20200928,1,4554.69
20200929,2,4259.69
20200930,3,5284.45
20201001,4,4645.18
20201002,5,3460.25
20201003,6,3417.59
20201004,7,3591.41
20201005,1,4538.79
20201006,2,4239.25
20201007,3,4100.03
20201008,4,4717.83
20201009,5,4309.75
20201010,6,3295.51
20201011,7,3087.83
20201012,1,3360.98
20201013,2,3465.25
20201014,3,3991.87
20201015,4,3925.84
20201016,5,3800.655
20201017,6,4087.365
20201018,7,3945.71
20201019,1,4504.55
20201020,2,4243.97
20201021,3,3309.5
20201022,4,4341.73
20201023,5,4002.45
20201024,6,3892.18
20201025,7,4024.975
20201026,1,3502.61
20201027,2,3401.36
20201028,3,3469.42
20201029,4,3707.805
20201030,5,4215.345
20201031,6,3719.285
20201101,7,3568.735
20201102,1,3523.575
20201103,2,3188.985
20201104,3,3551.525
20201105,4,3318.97
20201106,5,3262.858
20201107,6,3198.778
20201108,7,3927.8
20201109,1,4080.17
20201110,2,3590.03
20201111,3,3707.96
20201112,4,3190.91
20201113,5,3372.43
20201114,6,3363.68
20201115,7,3462.63
20201116,1,3146.99
20201117,2,3202.16
20201118,3,3361.04
20201119,4,3313.95
20201120,5,3642.99
20201121,6,2928.3
20201122,7,2764.731
20201123,1,3144.561
20201124,2,3133.96
20201125,3,3306.1
20201126,4,3144.43
20201127,5,3494.95
20201128,6,2976.9
20201129,7,3287.19
20201130,1,3319.84
20201201,2,3237.46
20201202,3,3049.21
20201203,4,3167.961
20201204,5,3084.351
20201205,6,3618.63
20201206,7,2690.48
20201207,1,3105.91
20201208,2,3164
20201209,3,3094.06
20201210,4,3086.16
20201211,5,3129
20201212,6,3282.89
20201213,7,2829.87
20201214,1,3021.24
20201215,2,3011.991
20201216,3,3020.59
20201217,4,3000.27
20201218,5,3047.2
20201219,6,3046.68
20201220,7,3716.33
20201221,1,3072.6
20201222,2,3198.84
20201223,3,3076.31
20201224,4,3544.739
20201225,5,3417.97
20201226,6,3065.95
20201227,7,2868.795
20201228,1,3134.859
20201229,2,3093.26
20201230,3,3117.59
20201231,4,3153.776
20210101,5,2767
20210102,6,2936
20210103,7,3037
20210104,1,3032
20210105,2,3067
20210106,3,3102
20210107,4,3102
20210108,5,3105
20210109,6,3202
20210110,7,2906
20210111,1,3093
20210112,2,3116
20210113,3,3114
20210114,4,3132
20210115,5,3310
20210116,6,3046
20210117,7,3035
20210118,1,3157
20210119,2,3159
20210120,3,3149
20210121,4,3074
20210122,5,3097
20210123,6,3203
20210124,7,3073
20210125,1,3269
20210126,2,3219
20210127,3,3064
20210128,4,3286
20210129,5,3203
20210130,6,3447
20210131,7,2906
20210201,1,2938
20210202,2,3045
20210203,3,3006
20210204,4,3132
20210205,5,3060
20210206,6,3066
20210207,7,2763
20210208,1,3047
20210209,2,2880
20210210,3,2888
20210211,4,2833
20210212,5,2992
20210213,6,3024
20210214,7,2911
20210215,1,2645
20210216,2,3002
20210217,3,2824
20210218,4,2907
20210219,5,2885
20210220,6,2975
20210221,7,3139
20210222,1,2989
20210223,2,3109
20210224,3,3049
20210225,4,3029
20210226,5,3041
20210227,6,2758
20210228,7,2672
20210301,1,2832
20210302,2,3221
20210303,3,3075
20210304,4,3088
20210305,5,3268
20210306,6,2805
20210307,7,2752
20210308,1,3110
20210309,2,3048
20210310,3,3055
20210311,4,3077
20210312,5,3272
20210313,6,3075
20210314,7,2933
20210315,1,3074
20210316,2,3087
20210317,3,3183
20210318,4,3214
20210319,5,3137
20210320,6,2839
20210321,7,3186
20210322,1,3224
20210323,2,3537
20210324,3,3059
20210325,4,3272
20210326,5,3279
20210327,6,3200
20210328,7,2919
20210329,1,3181
20210330,2,3262
20210331,3,3229
20210401,4,3470
20210402,5,3160
20210403,6,3057
20210404,7,2994
20210405,1,2873
20210406,2,3201
20210407,3,3247
20210408,4,3298
20210409,5,3211
20210410,6,2966
20210411,7,2848
20210412,1,3205
20210413,2,3195
20210414,3,3235
20210415,4,3208
20210416,5,3320
20210417,6,2883
20210418,7,2863
20210419,1,3091
20210420,2,3214
20210421,3,3302
20210422,4,3285
20210423,5,3335
20210424,6,2989
20210425,7,2911
